plant	inflorescence	flower	table	plate	JD233	JD249	JD260	JD274	JD287	JD304	JD317	JD331	JD344	JD358	JD372	JD386	JD399
73	w	g	2	B	6	0	0	0	0	0	0	0	0	0	0	0	0
73	w	r	2	A	4	18	1	2	0	0	0	0	0	0	0	0	0
73	w	r	2	B	1	1	10	2	4	4	0	0	0	0	0	0	0
74	w	g	2	A	8	3	6	0	2	1	3	2	0	0	0	0	0
74	w	g	2	B	5	7	5	0	0	0	0	1	0	0	0	0	1
74	r	r	2	A	2	9	4	0	0	1	0	0	0	0	0	0	0
74	r	r	2	B	5	8	1	0	0	0	0	0	0	0	0	0	0
75	b	w	2	A	12	10	0	0	0	0	0	2	0	0	0	0	0
75	b	w	2	B	0	11	6	0	0	5	3	0	0	0	0	0	0
75	b	r	2	A	4	4	11	0	0	3	0	0	0	0	0	0	0
75	b	r	2	B	5	4	5	0	1	8	2	0	0	0	0	0	0
77	b	g	2	A	0	11	5	1	3	2	0	3	0	0	0	0	0
77	b	g	2	B	2	6	8	0	2	4	0	0	0	0	0	0	0
77	w	b	2	A	7	3	1	0	1	4	2	0	0	0	0	0	0
77	w	b	2	B	0	1	0	1	7	14	2	0	0	0	0	0	0
77	w	r	2	A	0	0	0	0	2	7	9	3	1	1	0	0	0
77	w	r	2	B	0	0	0	0	0	6	1	0	0	0	0	0	0
77	r	w	2	A	1	0	0	0	6	8	3	0	0	0	0	0	0
77	r	w	2	B	2	4	2	1	5	3	1	0	0	0	0	0	0
1	w	g_sp	1	A	NA	3	9	0	7	3	0	0	0	0	0	0	0
1	w	g_sp	1	B	NA	7	10	1	3	0	0	0	0	0	0	0	0
25	b	o_sp	1	A	NA	7	5	1	7	3	0	0	0	0	0	0	0
25	b	o_sp	1	B	NA	0	3	5	10	3	0	4	0	0	0	0	0
25	w	b_sp	1	A	NA	1	0	1	2	11	1	1	0	3	0	0	1
25	g	g_sp	1	A	NA	0	0	0	0	0	3	0	2	3	0	1	0
25	g	r_sp	1	A	NA	0	9	0	0	0	0	0	0	0	0	0	0
26	b	r_sp	1	A	NA	9	0	0	0	3	1	1	0	0	3	0	0
26	g	g_sp	1	A	NA	10	3	1	4	1	0	2	0	0	0	0	0
26	g	g_sp	1	B	NA	7	1	0	2	4	0	6	1	1	1	1	0
27	b	r_sp	1	A	NA	1	0	0	1	0	0	0	0	0	0	0	0
27	r	rd	1	A	NA	1	1	0	0	0	0	0	0	0	0	0	0
27	r	rd	1	B	NA	0	0	0	0	0	1	0	0	0	0	0	0
28	b	r_sp	1	A	NA	5	8	1	7	4	0	0	0	0	0	0	0
28	b	r_sp	1	B	NA	1	10	1	7	1	0	0	0	1	0	0	0
37	w	o	1	A	NA	14	0	0	0	3	0	0	0	0	0	0	0
37	w	o	1	B	NA	1	8	1	0	0	0	0	0	0	0	0	0
46	b	b_sp	1	A	NA	0	1	0	3	19	0	0	0	0	0	0	0
46	b	b_sp	1	B	NA	0	0	0	0	15	3	4	0	0	0	0	0
55	b	rd	1	A	NA	5	1	0	0	6	2	0	0	0	0	0	1
55	b	rd	1	B	NA	4	1	0	0	11	0	0	0	0	0	0	0
60	b	rd	1	A	NA	0	1	0	1	2	0	0	0	0	0	0	0
65	g	o_sp	1	A	NA	0	0	2	0	0	0	0	0	0	0	0	0
65	g	o_sp	1	B	NA	0	1	0	1	2	0	0	0	0	0	0	0
66	b	o_sp	1	A	NA	0	0	1	0	12	0	0	0	0	0	0	0
69	g	r_sp	1	A	NA	6	1	0	3	12	2	0	0	0	0	0	0
69	g	r_sp	1	B	NA	3	3	0	2	12	2	0	0	0	0	0	0
70	b	o_sp	1	A	NA	0	9	3	0	0	0	0	0	0	0	0	0
70	b	o_sp	1	B	NA	0	3	2	1	2	0	0	0	0	0	0	0
70	w	g_sp	1	A	NA	2	0	0	0	15	0	0	0	0	0	0	0
70	w	g_sp	1	B	NA	2	7	3	4	1	0	0	0	0	0	0	0
74	p	o	1	A	NA	0	0	0	6	10	0	0	0	0	0	0	0
74	p	o	1	B	NA	1	0	0	2	6	0	0	0	0	0	0	0
76	g	rd	1	A	NA	12	6	0	2	1	0	0	0	0	0	0	0
76	g	rd	1	B	NA	15	4	3	3	0	0	0	0	0	0	0	0
77	w	p	1	A	NA	0	0	0	0	20	1	0	0	0	0	0	0
77	w	p	1	B	NA	0	0	0	9	11	1	0	0	0	0	0	0
9	w	g_lip	1	A	NA	NA	NA	0	0	3	0	0	0	0	0	0	0
13	b	rd_sp	1	A	NA	NA	NA	0	0	2	0	0	0	0	0	0	0
14	b	b_lip	1	A	NA	NA	NA	0	4	3	1	0	0	0	0	0	0
14	b	b_lip	1	B	NA	NA	NA	0	2	2	0	0	0	0	0	0	0
14	w	rd_sp	1	A	NA	NA	NA	0	0	8	0	0	0	0	0	0	0
16	b	p_sp	1	A	NA	NA	NA	0	0	9	1	0	0	0	0	0	0
16	b	p_sp	1	B	NA	NA	NA	0	0	2	0	0	0	0	0	0	0
31	g	rd_sp	1	A	NA	NA	NA	0	12	6	3	0	0	0	0	0	0
31	g	rd_sp	1	B	NA	NA	NA	0	2	13	4	1	2	0	0	0	0
31	r	b_lip	1	A	NA	NA	NA	0	2	9	0	0	0	0	0	0	0
31	r	b_lip	1	B	NA	NA	NA	0	2	8	3	1	1	0	0	0	0
33	b	b_lip	1	A	NA	NA	NA	0	2	13	3	0	0	0	0	0	0
33	b	b_lip	1	B	NA	NA	NA	0	4	13	1	0	0	0	0	0	0
33	g	rd_sp	1	A	NA	NA	NA	0	6	14	0	0	0	0	0	0	0
33	g	rd_sp	1	B	NA	NA	NA	0	11	8	1	0	0	0	0	0	0
33	g	r_lip	1	A	NA	NA	NA	0	0	17	0	1	0	0	1	0	0
33	g	r_lip	1	B	NA	NA	NA	0	0	7	2	0	0	0	0	0	0
34	b	g_lip	1	A	NA	NA	NA	0	2	0	0	0	0	0	0	0	0
34	b	g_lip	1	B	NA	NA	NA	0	1	1	0	0	0	0	0	0	0
35	b	b_lip	1	A	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
35	b	b_lip	1	B	NA	NA	NA	0	0	1	0	0	0	0	0	0	0
37	w	rd_sp	1	A	NA	NA	NA	0	0	15	2	4	0	0	0	0	0
37	w	rd_sp	1	B	NA	NA	NA	0	0	4	5	9	2	0	0	0	0
37	w	b_lip	1	A	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
37	w	b_lip	1	B	NA	NA	NA	0	1	1	0	0	0	0	0	0	0
38	b	rd_sp	1	A	NA	NA	NA	0	0	18	0	0	0	0	0	0	0
38	b	rd_sp	1	B	NA	NA	NA	0	0	19	0	0	0	0	0	0	0
38	b	b_lip	1	A	NA	NA	NA	0	3	16	1	0	0	0	0	0	0
38	b	b_lip	1	B	NA	NA	NA	0	0	1	0	0	0	0	0	0	0
38	w	g_lip	1	A	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
38	w	g_lip	1	B	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
40	w	rd_sp	1	A	NA	NA	NA	0	1	12	3	0	0	0	0	0	0
40	w	rd_sp	1	B	NA	NA	NA	0	0	2	1	1	0	0	0	0	0
44	w	rd_sp	1	A	NA	NA	NA	0	0	10	3	0	0	0	0	0	0
44	w	rd_sp	1	B	NA	NA	NA	0	1	13	2	1	1	0	0	0	0
44	w	b_lip	1	A	NA	NA	NA	0	1	12	1	1	2	0	0	0	0
44	w	b_lip	1	B	NA	NA	NA	0	0	8	2	0	0	0	0	0	0
45	b	b_lip	1	A	NA	NA	NA	0	0	1	2	0	1	0	0	0	0
45	b	b_lip	1	B	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
